seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,score,cluster_name
chr6,57872402,57872932,531,-,ENSMUSG00000093530,Vmn1r-ps12,unprocessed_pseudogene,0,chr6_cluster_4
chr6,57898126,57908028,9903,-,ENSMUSG00000115091,Vmn1r22,protein_coding,0,chr6_cluster_4
chr6,57925842,57926838,997,-,ENSMUSG00000093376,Vmn1r23,protein_coding,0,chr6_cluster_4
chr6,57954707,57961503,6797,-,ENSMUSG00000115507,Vmn1r24,protein_coding,0,chr6_cluster_4
chr6,57978299,57980810,2512,-,ENSMUSG00000115668,Vmn1r25,protein_coding,0,chr6_cluster_4
chr6,57993448,57993581,134,-,ENSMUSG00000107678,Vmn1r-ps13,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58004934,58015159,10226,-,ENSMUSG00000048697,Vmn1r26,protein_coding,0,chr6_cluster_4
chr6,58046448,58049899,3452,-,ENSMUSG00000093382,Vmn1r-ps14,transcribed_unprocessed_pseudogene,0,chr6_cluster_4
chr6,58073596,58079129,5534,-,ENSMUSG00000093666,Vmn1r-ps15,transcribed_unprocessed_pseudogene,0,chr6_cluster_4
chr6,58108063,58108167,105,-,ENSMUSG00000107530,Vmn1r-ps16,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58115737,58116630,894,-,ENSMUSG00000093743,Vmn1r-ps17,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58205680,58206943,1264,+,ENSMUSG00000093731,Vmn1r-ps18,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58213091,58218821,5731,-,ENSMUSG00000071428,Vmn1r27,protein_coding,0,chr6_cluster_4
chr6,58256619,58257548,930,-,ENSMUSG00000093522,Vmn1r-ps19,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58262037,58275639,13603,+,ENSMUSG00000115705,Vmn1r28,protein_coding,0,chr6_cluster_4
chr6,58301549,58311685,10137,+,ENSMUSG00000091734,Vmn1r29,protein_coding,0,chr6_cluster_4
chr6,58406395,58407346,952,-,ENSMUSG00000093702,Vmn1r-ps20,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58434159,58443385,9227,-,ENSMUSG00000095670,Vmn1r30,protein_coding,0,chr6_cluster_4
chr6,58455067,58455993,927,-,ENSMUSG00000093461,Vmn1r-ps21,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58470941,58475330,4390,-,ENSMUSG00000115404,Vmn1r31,protein_coding,0,chr6_cluster_4
chr6,58494337,58495249,913,-,ENSMUSG00000093518,Vmn1r-ps22,unprocessed_pseudogene,0,chr6_cluster_4
chr6,58504443,58504707,265,-,ENSMUSG00000093588,Vmn1r-ps23,unprocessed_pseudogene,0,chr6_cluster_4
chr6,66552882,66560096,7215,-,ENSMUSG00000062905,Vmn1r32,protein_coding,0,chr6_cluster_5
chr6,66610543,66618282,7740,-,ENSMUSG00000059375,Vmn1r33,protein_coding,0,chr6_cluster_5
chr6,66635936,66643879,7944,-,ENSMUSG00000091012,Vmn1r34,protein_coding,0,chr6_cluster_5
chr6,66678070,66685906,7837,-,ENSMUSG00000060699,Vmn1r35,protein_coding,0,chr6_cluster_5
chr6,66715257,66719168,3912,-,ENSMUSG00000115482,Vmn1r36,protein_coding,0,chr6_cluster_5
chr6,66729382,66733039,3658,+,ENSMUSG00000115467,Vmn1r37,protein_coding,0,chr6_cluster_5
chr6,66752276,66760039,7764,-,ENSMUSG00000093504,Vmn1r-ps24,transcribed_unprocessed_pseudogene,0,chr6_cluster_5
chr6,66774003,66782627,8625,-,ENSMUSG00000115170,Vmn1r38,protein_coding,0,chr6_cluster_5
chr6,66803297,66805332,2036,-,ENSMUSG00000093755,Vmn1r39,protein_coding,0,chr6_cluster_5
chr6,89698717,89699551,835,-,ENSMUSG00000100128,Vmn1r-ps25,unprocessed_pseudogene,0,chr6_cluster_7
chr6,89707540,89716657,9118,+,ENSMUSG00000096051,Vmn1r40,protein_coding,0,chr6_cluster_7
chr6,89740766,89747645,6880,+,ENSMUSG00000094586,Vmn1r41,protein_coding,0,chr6_cluster_7
chr6,89789449,89790386,938,+,ENSMUSG00000092311,Vmn1r-ps26,unprocessed_pseudogene,0,chr6_cluster_7
chr6,89802827,89806102,3276,-,ENSMUSG00000092237,Vmn1r-ps27,transcribed_unprocessed_pseudogene,0,chr6_cluster_7
chr6,89842573,89876413,33841,-,ENSMUSG00000068232,Vmn1r42,protein_coding,0,chr6_cluster_7
chr6,89858934,89876413,17480,-,ENSMUSG00000068231,Vmn1r43,protein_coding,0,chr6_cluster_7
chr6,89883660,89900563,16904,+,ENSMUSG00000068234,Vmn1r44,protein_coding,0,chr6_cluster_7
chr6,89907677,89908618,942,+,ENSMUSG00000092228,Vmn1r-ps28,unprocessed_pseudogene,0,chr6_cluster_7
chr6,89931649,89940598,8950,-,ENSMUSG00000044248,Vmn1r45,protein_coding,0,chr6_cluster_7
chr6,89969313,89987719,18407,+,ENSMUSG00000061653,Vmn1r46,protein_coding,0,chr6_cluster_7
chr6,89997612,90004592,6981,+,ENSMUSG00000092303,Vmn1r-ps29,unprocessed_pseudogene,0,chr6_cluster_7
chr6,90016147,90027477,11331,+,ENSMUSG00000060724,Vmn1r47,protein_coding,0,chr6_cluster_7
chr6,90035933,90036841,909,-,ENSMUSG00000057592,Vmn1r48,protein_coding,0,chr6_cluster_7
chr6,90056407,90056646,240,-,ENSMUSG00000092450,Vmn1r-ps31,unprocessed_pseudogene,0,chr6_cluster_7
chr6,90071893,90078506,6614,-,ENSMUSG00000095932,Vmn1r49,protein_coding,0,chr6_cluster_7
chr6,90101430,90109129,7700,+,ENSMUSG00000094553,Vmn1r50,protein_coding,0,chr6_cluster_7
chr6,90122596,90135475,12880,+,ENSMUSG00000062818,Vmn1r51,protein_coding,0,chr6_cluster_7
chr6,90146431,90155644,9214,+,ENSMUSG00000061843,Vmn1r-ps32,transcribed_unprocessed_pseudogene,0,chr6_cluster_7
chr6,90174808,90181579,6772,+,ENSMUSG00000060816,Vmn1r52,protein_coding,0,chr6_cluster_7
chr6,90223317,90224438,1122,-,ENSMUSG00000057697,Vmn1r53,protein_coding,0,chr6_cluster_7
chr6,90242272,90243254,983,+,ENSMUSG00000099754,Vmn1r-ps34,unprocessed_pseudogene,0,chr6_cluster_7
chr6,90246300,90270053,23754,+,ENSMUSG00000047203,Vmn1r54,protein_coding,0,chr6_cluster_7
chr7,5146490,5149670,3181,-,ENSMUSG00000118215,Vmn1r55,protein_coding,0,chr7_cluster_1
chr7,5194916,5196747,1832,-,ENSMUSG00000091874,Vmn1r56,protein_coding,0,chr7_cluster_1
chr7,5218493,5230646,12154,+,ENSMUSG00000091652,Vmn1r57,protein_coding,0,chr7_cluster_1
chr7,5401681,5413396,11716,-,ENSMUSG00000078808,Vmn1r58,protein_coding,0,chr7_cluster_1
chr7,5450208,5456774,6567,-,ENSMUSG00000117744,Vmn1r59,protein_coding,0,chr7_cluster_1
chr7,5539346,5547317,7972,-,ENSMUSG00000118298,Vmn1r60,protein_coding,0,chr7_cluster_1
chr7,5572717,5573143,427,-,ENSMUSG00000092336,Vmn1r-ps40,unprocessed_pseudogene,0,chr7_cluster_1
chr7,5601647,5613295,11649,-,ENSMUSG00000117863,Vmn1r61,protein_coding,0,chr7_cluster_1
chr7,5673631,5682862,9232,+,ENSMUSG00000092579,Vmn1r62,protein_coding,0,chr7_cluster_1
chr7,5802345,5805445,3101,-,ENSMUSG00000058631,Vmn1r63,protein_coding,0,chr7_cluster_1
chr7,5883580,5884542,963,-,ENSMUSG00000118388,Vmn1r64,protein_coding,0,chr7_cluster_1
chr7,5929501,5930455,955,-,ENSMUSG00000092580,Vmn1r-ps45,processed_pseudogene,0,chr7_cluster_1
chr7,5966268,5967235,968,-,ENSMUSG00000092271,Vmn1r-ps46,processed_pseudogene,0,chr7_cluster_1
chr7,6007750,6009233,1484,-,ENSMUSG00000066850,Vmn1r65,protein_coding,0,chr7_cluster_1
chr7,10274172,10278006,3835,-,ENSMUSG00000043066,Vmn1r66,protein_coding,0,chr7_cluster_2
chr7,10278484,10286840,8357,-,ENSMUSG00000093781,Vmn1r-ps47,transcribed_unprocessed_pseudogene,0,chr7_cluster_2
chr7,10300488,10301379,892,+,ENSMUSG00000093487,Vmn1r-ps48,unprocessed_pseudogene,0,chr7_cluster_2
chr7,10443331,10454932,11602,+,ENSMUSG00000046716,Vmn1r67,protein_coding,0,chr7_cluster_2
chr7,10507398,10558485,51088,-,ENSMUSG00000047031,Vmn1r68,protein_coding,0,chr7_cluster_2
chr7,10549552,10550445,894,-,ENSMUSG00000093595,Vmn1r-ps49,unprocessed_pseudogene,0,chr7_cluster_2
chr7,10578930,10613659,34730,-,ENSMUSG00000091662,Vmn1r69,protein_coding,0,chr7_cluster_2
chr7,10604744,10605196,453,-,ENSMUSG00000111440,Vmn1r-ps50,processed_pseudogene,0,chr7_cluster_2
chr7,10631532,10639122,7591,+,ENSMUSG00000045340,Vmn1r70,protein_coding,0,chr7_cluster_2
chr7,10650299,10650618,320,+,ENSMUSG00000093534,Vmn1r-ps51,unprocessed_pseudogene,0,chr7_cluster_2
chr7,10666766,10667641,876,-,ENSMUSG00000093689,Vmn1r-ps52,unprocessed_pseudogene,0,chr7_cluster_2
chr7,10744543,10754364,9822,-,ENSMUSG00000059206,Vmn1r71,protein_coding,0,chr7_cluster_2
chr7,11653109,11654060,952,-,ENSMUSG00000092489,Vmn1r-ps53,unprocessed_pseudogene,0,chr7_cluster_3
chr7,11664479,11680147,15669,-,ENSMUSG00000095430,Vmn1r72,protein_coding,0,chr7_cluster_3
chr7,11730266,11762081,31816,+,ENSMUSG00000051687,Vmn1r73,protein_coding,0,chr7_cluster_3
chr7,11833980,11853362,19383,+,ENSMUSG00000047655,Vmn1r74,protein_coding,0,chr7_cluster_3
chr7,11853905,11854365,461,+,ENSMUSG00000092326,Vmn1r-ps55,unprocessed_pseudogene,0,chr7_cluster_3
chr7,11874630,11907723,33094,+,ENSMUSG00000043308,Vmn1r75,protein_coding,0,chr7_cluster_3
chr7,11911205,11912210,1006,-,ENSMUSG00000092285,Vmn1r-ps56,unprocessed_pseudogene,0,chr7_cluster_3
chr7,11923523,11938213,14691,-,ENSMUSG00000115267,Vmn1r76,protein_coding,0,chr7_cluster_3
chr7,11965561,11965849,289,-,ENSMUSG00000092466,Vmn1r-ps57,unprocessed_pseudogene,0,chr7_cluster_3
chr7,11976923,11977864,942,-,ENSMUSG00000092208,Vmn1r-ps58,unprocessed_pseudogene,0,chr7_cluster_3
chr7,11994883,11995081,199,+,ENSMUSG00000092398,Vmn1r-ps59,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12005002,12006331,1330,+,ENSMUSG00000092318,Vmn1r-ps60,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12036752,12049318,12567,+,ENSMUSG00000095864,Vmn1r77,protein_coding,0,chr7_cluster_3
chr7,12091241,12092098,858,+,ENSMUSG00000092535,Vmn1r-ps61,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12113236,12114541,1306,+,ENSMUSG00000092350,Vmn1r-ps62,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12138290,12139317,1028,+,ENSMUSG00000092248,Vmn1r-ps63,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12150257,12160920,10664,+,ENSMUSG00000061602,Vmn1r78,protein_coding,0,chr7_cluster_3
chr7,12171279,12181533,10255,+,ENSMUSG00000096735,Vmn1r79,protein_coding,0,chr7_cluster_3
chr7,12189286,12203313,14028,+,ENSMUSG00000115744,Vmn1r80,protein_coding,0,chr7_cluster_3
chr7,12201702,12202356,655,+,ENSMUSG00000092351,Vmn1r-ps64,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12214556,12215549,994,+,ENSMUSG00000092476,Vmn1r-ps65,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12247241,12268269,21029,-,ENSMUSG00000115027,Vmn1r81,protein_coding,0,chr7_cluster_3
chr7,12300430,12313448,13019,+,ENSMUSG00000058132,Vmn1r82,protein_coding,0,chr7_cluster_3
chr7,12319707,12329481,9775,-,ENSMUSG00000066804,Vmn1r83,protein_coding,0,chr7_cluster_3
chr7,12360313,12369273,8961,-,ENSMUSG00000066803,Vmn1r84,protein_coding,0,chr7_cluster_3
chr7,12392272,12392883,612,-,ENSMUSG00000092331,Vmn1r-ps66,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12399051,12399741,691,-,ENSMUSG00000092610,Vmn1r-ps67,unprocessed_pseudogene,0,chr7_cluster_3
chr7,12404101,12404489,389,-,ENSMUSG00000092359,Vmn1r-ps68,unprocessed_pseudogene,0,chr7_cluster_3
chr7,13084289,13095173,10885,-,ENSMUSG00000070817,Vmn1r85,protein_coding,0,chr7_cluster_4
chr7,13097531,13119917,22387,-,ENSMUSG00000070816,Vmn1r86,protein_coding,0,chr7_cluster_4
chr7,13130904,13140157,9254,-,ENSMUSG00000070815,Vmn1r87,protein_coding,0,chr7_cluster_4
chr7,13159568,13185864,26297,+,ENSMUSG00000117853,Vmn1r88,protein_coding,0,chr7_cluster_4
chr7,13213020,13221748,8729,+,ENSMUSG00000095629,Vmn1r89,protein_coding,0,chr7_cluster_4
chr7,13244134,13244885,752,+,ENSMUSG00000092427,Vmn1r-ps69,unprocessed_pseudogene,0,chr7_cluster_4
chr7,14561242,14562171,930,-,ENSMUSG00000100586,Vmn1r90,protein_coding,0,chr7_cluster_5
chr7,20101158,20103101,1944,+,ENSMUSG00000095201,Vmn1r91,protein_coding,0,chr7_cluster_6
chr7,20121656,20122579,924,-,ENSMUSG00000096152,Vmn1r240,protein_coding,0,chr7_cluster_6
chr7,20135696,20139088,3393,-,ENSMUSG00000096164,Vmn1r93,protein_coding,0,chr7_cluster_6
chr7,20167460,20168377,918,-,ENSMUSG00000094011,Vmn1r94,protein_coding,0,chr7_cluster_6
chr7,20193710,20198196,4487,+,ENSMUSG00000094735,Vmn1r95,protein_coding,0,chr7_cluster_6
chr7,20204684,20205607,924,-,ENSMUSG00000094298,Vmn1r241,protein_coding,0,chr7_cluster_6
chr7,20230359,20233828,3470,-,ENSMUSG00000094757,Vmn1r242,protein_coding,0,chr7_cluster_6
chr7,20333142,20334065,924,-,ENSMUSG00000095745,Vmn1r243,protein_coding,0,chr7_cluster_6
chr7,20356798,20357838,1041,-,ENSMUSG00000094160,Vmn1r-ps79,unprocessed_pseudogene,0,chr7_cluster_6
chr7,20374493,20375410,918,-,ENSMUSG00000095806,Vmn1r244,protein_coding,0,chr7_cluster_6
chr7,20417942,20421246,3305,+,ENSMUSG00000096386,Vmn1r100,protein_coding,0,chr7_cluster_6
chr7,20441670,20442593,924,-,ENSMUSG00000094545,Vmn1r101,protein_coding,0,chr7_cluster_6
chr7,20509617,20510534,918,-,ENSMUSG00000096663,Vmn1r103,protein_coding,0,chr7_cluster_6
chr7,20533837,20537297,3461,+,ENSMUSG00000096903,Vmn1r104,protein_coding,0,chr7_cluster_6
chr7,20544834,20545757,924,-,ENSMUSG00000096761,Vmn1r245,protein_coding,0,chr7_cluster_6
chr7,20575321,20576241,921,-,ENSMUSG00000095837,Vmn1r246,protein_coding,0,chr7_cluster_6
chr7,20668918,20672378,3461,+,ENSMUSG00000095275,Vmn1r107,protein_coding,0,chr7_cluster_6
chr7,20680366,20681415,1050,-,ENSMUSG00000092487,Vmn1r-ps71,unprocessed_pseudogene,0,chr7_cluster_6
chr7,20702296,20703216,921,-,ENSMUSG00000095768,Vmn1r111,protein_coding,0,chr7_cluster_6
chr7,20771185,20774607,3423,+,ENSMUSG00000094284,Vmn1r112,protein_coding,0,chr7_cluster_6
chr7,20787285,20791233,3949,+,ENSMUSG00000091638,Vmn1r113,protein_coding,0,chr7_cluster_6
chr7,20811221,20812186,966,-,ENSMUSG00000094085,Vmn1r114,protein_coding,0,chr7_cluster_6
chr7,20844098,20844985,888,-,ENSMUSG00000091435,Vmn1r115,protein_coding,0,chr7_cluster_6
chr7,20872256,20875716,3461,+,ENSMUSG00000095973,Vmn1r116,protein_coding,0,chr7_cluster_6
chr7,20883198,20884121,924,-,ENSMUSG00000096737,Vmn1r117,protein_coding,0,chr7_cluster_6
chr7,20911427,20912347,921,-,ENSMUSG00000094589,Vmn1r118,protein_coding,0,chr7_cluster_6
chr7,21011532,21012455,924,-,ENSMUSG00000094010,Vmn1r119,protein_coding,0,chr7_cluster_6
chr7,21035174,21037293,2120,-,ENSMUSG00000094501,Vmn1r-ps73,unprocessed_pseudogene,0,chr7_cluster_6
chr7,21052867,21053784,918,-,ENSMUSG00000093986,Vmn1r120,protein_coding,0,chr7_cluster_6
chr7,21092032,21092679,648,+,ENSMUSG00000092616,Vmn1r-ps74,unprocessed_pseudogene,0,chr7_cluster_6
chr7,21097569,21098513,945,-,ENSMUSG00000094680,Vmn1r121,protein_coding,0,chr7_cluster_6
chr7,21133211,21134128,918,-,ENSMUSG00000094001,Vmn1r122,protein_coding,0,chr7_cluster_6
chr7,21162185,21163864,1680,+,ENSMUSG00000094385,Vmn1r123,protein_coding,0,chr7_cluster_6
chr7,21259694,21260617,924,-,ENSMUSG00000094221,Vmn1r124,protein_coding,0,chr7_cluster_6
chr7,21272179,21276021,3843,+,ENSMUSG00000095309,Vmn1r125,protein_coding,0,chr7_cluster_6
chr7,21300502,21301467,966,-,ENSMUSG00000096813,Vmn1r126,protein_coding,0,chr7_cluster_6
chr7,21318944,21319861,918,-,ENSMUSG00000093890,Vmn1r127,protein_coding,0,chr7_cluster_6
chr7,21349373,21351888,2516,+,ENSMUSG00000095758,Vmn1r128,protein_coding,0,chr7_cluster_6
chr7,21360368,21361291,924,-,ENSMUSG00000094879,Vmn1r129,protein_coding,0,chr7_cluster_6
chr7,21392292,21393338,1047,-,ENSMUSG00000095185,Vmn1r-ps75,unprocessed_pseudogene,0,chr7_cluster_6
chr7,21511780,21515245,3466,+,ENSMUSG00000094208,Vmn1r130,protein_coding,0,chr7_cluster_6
chr7,21523230,21524279,1050,-,ENSMUSG00000096741,Vmn1r-ps76,unprocessed_pseudogene,0,chr7_cluster_6
chr7,21543251,21546090,2840,-,ENSMUSG00000093941,Vmn1r131,protein_coding,0,chr7_cluster_6
chr7,21614092,21617514,3423,+,ENSMUSG00000074322,Vmn1r132,protein_coding,0,chr7_cluster_6
chr7,21760531,21761475,945,-,ENSMUSG00000096513,Vmn1r247,protein_coding,0,chr7_cluster_6
chr7,21795811,21796728,918,-,ENSMUSG00000096760,Vmn1r248,protein_coding,0,chr7_cluster_6
chr7,21832351,21835811,3461,+,ENSMUSG00000095064,Vmn1r135,protein_coding,0,chr7_cluster_6
chr7,21843344,21844267,924,-,ENSMUSG00000095191,Vmn1r249,protein_coding,0,chr7_cluster_6
chr7,21875360,21876280,921,-,ENSMUSG00000092506,Vmn1r-ps77,unprocessed_pseudogene,0,chr7_cluster_6
chr7,21994587,21998052,3466,+,ENSMUSG00000095962,Vmn1r137,protein_coding,0,chr7_cluster_6
chr7,22006037,22007086,1050,-,ENSMUSG00000095287,Vmn1r-ps78,unprocessed_pseudogene,0,chr7_cluster_6
chr7,22026058,22028897,2840,-,ENSMUSG00000095163,Vmn1r138,protein_coding,0,chr7_cluster_6
chr7,22069057,22100289,31233,+,ENSMUSG00000074311,Vmn1r139,protein_coding,0,chr7_cluster_6
chr7,22133776,22134741,966,-,ENSMUSG00000096348,Vmn1r250,protein_coding,0,chr7_cluster_6
chr7,22160561,22164035,3475,-,ENSMUSG00000095273,Vmn1r142,protein_coding,0,chr7_cluster_6
chr7,22189377,22193863,4487,+,ENSMUSG00000096071,Vmn1r143,protein_coding,0,chr7_cluster_6
chr7,22197188,22201264,4077,-,ENSMUSG00000094981,Vmn1r251,protein_coding,0,chr7_cluster_6
chr7,22226014,22229484,3471,-,ENSMUSG00000094149,Vmn1r252,protein_coding,0,chr7_cluster_6
chr7,22325675,22329717,4043,-,ENSMUSG00000093871,Vmn1r253,protein_coding,0,chr7_cluster_6
chr7,22352435,22353475,1041,-,ENSMUSG00000095816,Vmn1r-ps70,unprocessed_pseudogene,0,chr7_cluster_6
chr7,22367580,22371114,3535,-,ENSMUSG00000093917,Vmn1r254,protein_coding,0,chr7_cluster_6
chr7,22413583,22417043,3461,+,ENSMUSG00000095543,Vmn1r148,protein_coding,0,chr7_cluster_6
chr7,22434712,22438229,3518,-,ENSMUSG00000094542,Vmn1r149,protein_coding,0,chr7_cluster_6
chr7,22498761,22499678,918,-,ENSMUSG00000093853,Vmn1r151,protein_coding,0,chr7_cluster_6
chr7,22522967,22526427,3461,+,ENSMUSG00000095383,Vmn1r152,protein_coding,0,chr7_cluster_6
chr7,22531321,22534887,3567,-,ENSMUSG00000094748,Vmn1r255,protein_coding,0,chr7_cluster_6
chr7,22561829,22565343,3515,-,ENSMUSG00000095984,Vmn1r256,protein_coding,0,chr7_cluster_6
chr7,22658018,22661478,3461,+,ENSMUSG00000094905,Vmn1r155,protein_coding,0,chr7_cluster_6
chr7,22669461,22670510,1050,-,ENSMUSG00000092547,Vmn1r-ps80,unprocessed_pseudogene,0,chr7_cluster_6
chr7,22691397,22692317,921,-,ENSMUSG00000095081,Vmn1r257,protein_coding,0,chr7_cluster_6
chr7,22761697,22764935,3239,+,ENSMUSG00000095619,Vmn1r157,protein_coding,0,chr7_cluster_6
chr7,22789859,22790782,924,-,ENSMUSG00000094700,Vmn1r158,protein_coding,0,chr7_cluster_6
chr7,22842688,22843605,918,-,ENSMUSG00000095931,Vmn1r159,protein_coding,0,chr7_cluster_6
chr7,22871224,22873922,2699,+,ENSMUSG00000094931,Vmn1r160,protein_coding,0,chr7_cluster_6
chr7,22980868,22984673,3806,-,ENSMUSG00000092297,Vmn1r258,protein_coding,0,chr7_cluster_6
chr7,23016469,23019923,3455,-,ENSMUSG00000094532,Vmn1r259,protein_coding,0,chr7_cluster_6
chr7,23055540,23059000,3461,+,ENSMUSG00000094934,Vmn1r163,protein_coding,0,chr7_cluster_6
chr7,23063762,23067456,3695,-,ENSMUSG00000096601,Vmn1r260,protein_coding,0,chr7_cluster_6
chr7,23217332,23220796,3465,+,ENSMUSG00000095358,Vmn1r165,protein_coding,0,chr7_cluster_6
chr7,23228787,23229836,1050,-,ENSMUSG00000092462,Vmn1r-ps83,unprocessed_pseudogene,0,chr7_cluster_6
chr7,23248845,23251682,2838,-,ENSMUSG00000096073,Vmn1r166,protein_coding,0,chr7_cluster_6
chr7,23486375,23487374,1000,-,ENSMUSG00000092496,Vmn1r-ps84,unprocessed_pseudogene,0,chr7_cluster_6
chr7,23503646,23507206,3561,-,ENSMUSG00000090715,Vmn1r167,protein_coding,0,chr7_cluster_6
chr7,23539732,23547666,7935,+,ENSMUSG00000074291,Vmn1r168,protein_coding,0,chr7_cluster_6
chr7,23575526,23579108,3583,+,ENSMUSG00000094602,Vmn1r169,protein_coding,0,chr7_cluster_6
chr7,23606175,23608328,2154,+,ENSMUSG00000094187,Vmn1r170,protein_coding,0,chr7_cluster_6
chr7,23630722,23634470,3749,+,ENSMUSG00000062483,Vmn1r171,protein_coding,0,chr7_cluster_6
chr7,23658316,23668447,10132,+,ENSMUSG00000035523,Vmn1r172,protein_coding,0,chr7_cluster_6
chr7,23700703,23711009,10307,+,ENSMUSG00000115021,Vmn1r173,protein_coding,0,chr7_cluster_6
chr7,23752270,23762482,10213,+,ENSMUSG00000090411,Vmn1r174,protein_coding,0,chr7_cluster_6
chr7,23778358,23779294,937,+,ENSMUSG00000092629,Vmn1r-ps85,unprocessed_pseudogene,0,chr7_cluster_6
chr7,23807182,23810643,3462,-,ENSMUSG00000095632,Vmn1r175,protein_coding,0,chr7_cluster_6
chr7,23833840,23837372,3533,-,ENSMUSG00000096859,Vmn1r176,protein_coding,0,chr7_cluster_6
chr7,23865520,23866449,930,-,ENSMUSG00000057513,Vmn1r177,protein_coding,0,chr7_cluster_6
chr7,23892009,23898713,6705,+,ENSMUSG00000062598,Vmn1r178,protein_coding,0,chr7_cluster_6
chr7,23926978,23936283,9306,+,ENSMUSG00000046924,Vmn1r179,protein_coding,0,chr7_cluster_6
chr7,23950632,23963259,12628,+,ENSMUSG00000092473,Vmn1r180,protein_coding,0,chr7_cluster_6
